0040BF56	CALL     0x40bd78                                         EAX=0000000F ECX=77AE3804 EDX=0040B16C EBX=0040C70E ESP=0018FE20 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000216
0040BD78	PUSH     EDX                                              EAX=0000000F ECX=77AE3804 EDX=0040B16C EBX=0040C70E ESP=0018FE1C EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000216
0040BD79	DEC      ESI                                              EAX=0000000F ECX=77AE3804 EDX=0040B16C EBX=0040C70E ESP=0018FE18 EBP=0018FF08 ESI=0040C71D EDI=0018FE48 EFLAG=00000216
0040BD7A	PUSHF                                                     EAX=0000000F ECX=77AE3804 EDX=0040B16C EBX=0040C70E ESP=0018FE18 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000202
0040A91F	MOV      [ESP], DH                                        EAX=0000000F ECX=77AE3804 EDX=0040B16C EBX=0040C70E ESP=0018FE14 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000202
0040A922	MOV      [ESP+0x30], EDX                                  EAX=0000000F ECX=77AE3804 EDX=0040B16C EBX=0040C70E ESP=0018FE14 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000202
0040A926	MOV      [ESP], AL                                        EAX=0000000F ECX=77AE3804 EDX=0040B16C EBX=0040C70E ESP=0018FE14 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000202
0040A929	PUSH     DWORD [ESP+0x30]                                 EAX=0000000F ECX=77AE3804 EDX=0040B16C EBX=0040C70E ESP=0018FE14 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000202
0040A92D	RET      0x34                                             EAX=0000000F ECX=77AE3804 EDX=0040B16C EBX=0040C70E ESP=0018FE10 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000202
0040B16C	CALL     0x40bb09                                         EAX=0000000F ECX=77AE3804 EDX=0040B16C EBX=0040C70E ESP=0018FE48 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000202
0040BB09	SUB      DL, AH                                           EAX=0000000F ECX=77AE3804 EDX=0040B16C EBX=0040C70E ESP=0018FE44 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000202
0040BB0B	MOV      AL, [ESI-0x1]                                    EAX=0000000F ECX=77AE3804 EDX=0040B16C EBX=0040C70E ESP=0018FE44 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000206
0040BB0E	LEA      ESP, [ESP+0x4]                                   EAX=000000E3 ECX=77AE3804 EDX=0040B16C EBX=0040C70E ESP=0018FE44 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000206
0040BB12	JNP      0x40bd9a                                         EAX=000000E3 ECX=77AE3804 EDX=0040B16C EBX=0040C70E ESP=0018FE48 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000206
0040BB18	BSR      EDX, ECX                                         EAX=000000E3 ECX=77AE3804 EDX=0040B16C EBX=0040C70E ESP=0018FE48 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000206
0040BB1B	ADD      AL, BL                                           EAX=000000E3 ECX=77AE3804 EDX=0000001E EBX=0040C70E ESP=0018FE48 EBP=0018FF08 ESI=0040C71C EDI=0018FE48 EFLAG=00000206
