SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000028 ECX=00000001 EDX=00000202 EBX=E22A75A3 ESP=003CFBDC EBP=003CFCAE ESI=01222CA4 EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=0000001C ECX=00000001 EDX=0117A02C EBX=E22A7567 ESP=003CFBDC EBP=003CFCB0 ESI=01222CA6 EDI=003CFBDC EFLAG=00000212
SeqID:00000003 0117AFB0->0117C9D8                                                  EAX=00000018 ECX=00000001 EDX=0117AFB0 EBX=E22A754F ESP=003CFBDC EBP=003CFCB0 ESI=01222CA7 EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=7462A02C ECX=00000001 EDX=0117AFB0 EBX=E22A754F ESP=003CFBDC EBP=003CFCB0 ESI=01222CA7 EDI=003CFBDC EFLAG=00000213
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000010 ECX=00000001 EDX=00000213 EBX=E22A75E4 ESP=003CFBDC EBP=003CFCB4 ESI=01222CA9 EDI=003CFBDC EFLAG=00000206
SeqID:00000005 0117C2E4->0117B81B                                                  EAX=000000B4 ECX=00000001 EDX=0117C2E4 EBX=E22A7530 ESP=003CFBDC EBP=003CFCB4 ESI=01222CAA EDI=003CFBDC EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=0000003C ECX=00000001 EDX=00D70000 EBX=E22A75F4 ESP=003CFBDC EBP=003CFCB0 ESI=01222CAB EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000001 EDX=00D70000 EBX=E22A75F4 ESP=003CFBDC EBP=003CFCB0 ESI=01222CAB EDI=003CFBDC EFLAG=00000216
SeqID:00000003 0117AFB0->0117C9D8                                                  EAX=00000018 ECX=00000001 EDX=0117AFB0 EBX=E22A75DC ESP=003CFBDC EBP=003CFCB0 ESI=01222CAC EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00D70000 ECX=00000001 EDX=0117AFB0 EBX=E22A75DC ESP=003CFBDC EBP=003CFCB0 ESI=01222CAC EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000008 ECX=00000001 EDX=00000202 EBX=E22A757F ESP=003CFBDC EBP=003CFCB4 ESI=01222CAE EDI=003CFBDC EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=CB3900D9 ECX=00000001 EDX=0117AF00 EBX=E22A7536 ESP=003CFBDC EBP=003CFCB4 ESI=01222CAF EDI=003CFBDC EFLAG=00000206
SeqID:00000003 0117AFB0->0117C9D8                                                  EAX=00000018 ECX=00000001 EDX=0117AFB0 EBX=E22A751E ESP=003CFBDC EBP=003CFCB4 ESI=01222CB0 EDI=003CFBDC EFLAG=00000202
SeqID:00000008 0117D095->0117CC39                                                  EAX=CB3900D9 ECX=00000001 EDX=0117AFB0 EBX=E22A751E ESP=003CFBDC EBP=003CFCB4 ESI=01222CB0 EDI=003CFBDC EFLAG=00000286
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=CB3900D9 ECX=00000001 EDX=0117AFB0 EBX=E22A751E ESP=003CFBDC EBP=003CFCB4 ESI=01222CB0 EDI=003CFBDC EFLAG=00000286
SeqID:00000007 0117ADCC->0117C3BD                                                  EAX=000000FB ECX=00000001 EDX=0117ADCC EBX=E22A7523 ESP=003CFBDC EBP=003CFCB4 ESI=01222CB1 EDI=003CFBDC EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=003CFCB4 ECX=00000001 EDX=0117ADCC EBX=E22A7523 ESP=003CFBDC EBP=003CFCB0 ESI=01222CB1 EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000001 EDX=0117ADCC EBX=E22A7523 ESP=003CFBDC EBP=003CFCB0 ESI=01222CB1 EDI=003CFBDC EFLAG=00000216
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000286 ECX=00000001 EDX=0117CF85 EBX=E22A7515 ESP=003CFBDC EBP=003CFCB0 ESI=01222CB2 EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=0000002C ECX=00000001 EDX=00000286 EBX=E22A758E ESP=003CFBDC EBP=003CFCB4 ESI=01222CB4 EDI=003CFBDC EFLAG=00000206
SeqID:00000005 0117C2E4->0117B81B                                                  EAX=000000B4 ECX=00000001 EDX=0117C2E4 EBX=E22A75DA ESP=003CFBDC EBP=003CFCB4 ESI=01222CB5 EDI=003CFBDC EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000028 ECX=00000001 EDX=00000202 EBX=E22A75B2 ESP=003CFBDC EBP=003CFCB0 ESI=01222CB6 EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000001 EDX=00000202 EBX=E22A75B2 ESP=003CFBDC EBP=003CFCB0 ESI=01222CB6 EDI=003CFBDC EFLAG=00000216
SeqID:00000006 0117AF16->0117CAB1                                                  EAX=0000004A ECX=00000001 EDX=0117AF16 EBX=E22A7568 ESP=003CFBDC EBP=003CFCB0 ESI=01222CB7 EDI=003CFBDC EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=0A7F77A5 ECX=00000001 EDX=0117AF16 EBX=D7AAFDC3 ESP=003CFBDC EBP=003CFCAC ESI=01222CBB EDI=003CFBDC EFLAG=00000216
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000001 EDX=0117AF16 EBX=D7AAFDC3 ESP=003CFBDC EBP=003CFCAC ESI=01222CBB EDI=003CFBDC EFLAG=00000202
SeqID:00000007 0117ADCC->0117C3BD                                                  EAX=00000037 ECX=00000001 EDX=0117ADCC EBX=D7AAFD8C ESP=003CFBDC EBP=003CFCAC ESI=01222CBC EDI=003CFBDC EFLAG=00000206
SeqID:00000004 0117B820->0117B1F5                                                  EAX=003CFCAC ECX=00000001 EDX=0117ADCC EBX=D7AAFD8C ESP=003CFBDC EBP=003CFCA8 ESI=01222CBC EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000001 EDX=0117ADCC EBX=D7AAFD8C ESP=003CFBDC EBP=003CFCA8 ESI=01222CBC EDI=003CFBDC EFLAG=00000212
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000008 ECX=00000001 EDX=0117BB24 EBX=D7AAFD8B ESP=003CFBDC EBP=003CFCA4 ESI=01222CBE EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000001 EDX=0117BB24 EBX=D7AAFD8B ESP=003CFBDC EBP=003CFCA4 ESI=01222CBE EDI=003CFBDC EFLAG=00000216
SeqID:00000003 0117AFB0->0117C9D8                                                  EAX=00000010 ECX=00000001 EDX=0117AFB0 EBX=D7AAFD7B ESP=003CFBDC EBP=003CFCA4 ESI=01222CBF EDI=003CFBDC EFLAG=00000202
SeqID:00000008 0117D095->0117CC39                                                  EAX=00000008 ECX=00000001 EDX=0117AFB0 EBX=D7AAFD7B ESP=003CFBDC EBP=003CFCA4 ESI=01222CBF EDI=003CFBDC EFLAG=00000216
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000008 ECX=00000001 EDX=0117AFB0 EBX=D7AAFD7B ESP=003CFBDC EBP=003CFCA4 ESI=01222CBF EDI=003CFBDC EFLAG=00000216
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000010 ECX=00000001 EDX=00000216 EBX=D7AAFD16 ESP=003CFBDC EBP=003CFCA8 ESI=01222CC1 EDI=003CFBDC EFLAG=00000202
SeqID:00000009 0117CF4A->0117BBB2                                                  EAX=0000003D ECX=00000001 EDX=0117CF4A EBX=D7AAFDD9 ESP=003CFBDC EBP=003CFCA8 ESI=01222CC2 EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFCB4 ECX=00000001 EDX=0A7F77A5 EBX=D7AAFDD9 ESP=003CFBDC EBP=003CFCB0 ESI=01222CC2 EDI=003CFBDC EFLAG=00000212
SeqID:00000004 0117B820->0117B1F5                                                  EAX=00000002 ECX=00000000 EDX=0117AD72 EBX=D7AAFD47 ESP=003CFBDC EBP=003CFCAE ESI=01222CC3 EDI=003CFBDC EFLAG=00000212
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000000 EDX=0117AD72 EBX=D7AAFD47 ESP=003CFBDC EBP=003CFCAE ESI=01222CC3 EDI=003CFBDC EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000010 ECX=00000000 EDX=00000212 EBX=D7AAFDE2 ESP=003CFBDC EBP=003CFCB2 ESI=01222CC5 EDI=003CFBDC EFLAG=00000216
SeqID:00000010 0117BD36->0117CFCF                                                  EAX=00000020 ECX=00000000 EDX=0117BD36 EBX=D7AAFDC2 ESP=003CFBDC EBP=003CFCB2 ESI=01222CC6 EDI=003CFBDC EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=0000001C ECX=00000000 EDX=01170002 EBX=D7AAFDA6 ESP=003CFBDC EBP=003CFCB4 ESI=01222CC7 EDI=003CFBDC EFLAG=00000206
SeqID:00000003 0117AFB0->0117C9D8                                                  EAX=00000010 ECX=00000000 EDX=0117AFB0 EBX=D7AAFD96 ESP=003CFBDC EBP=003CFCB4 ESI=01222CC8 EDI=003CFBDC EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=0A7F77A5 ECX=00000000 EDX=0117AFB0 EBX=D7AAFD96 ESP=003CFBDC EBP=003CFCB4 ESI=01222CC8 EDI=003CFBDC EFLAG=00000213
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000010 ECX=00000000 EDX=00000213 EBX=D7AAFDD0 ESP=003CFBDC EBP=003CFCB8 ESI=01222CCA EDI=003CFBDC EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=0000002C ECX=00000000 EDX=00000001 EBX=D7AAFD4F ESP=003CFBDC EBP=003CFCBC ESI=01222CCC EDI=003CFBDC EFLAG=00000202
SeqID:00000006 0117AF16->0117CAB1                                                  EAX=0000004A ECX=00000000 EDX=0117AF16 EBX=D7AAFD05 ESP=003CFBDC EBP=003CFCBC ESI=01222CCD EDI=003CFBDC EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=A716AC3C ECX=00000000 EDX=0117AF16 EBX=309450C9 ESP=003CFBDC EBP=003CFCB8 ESI=01222CD1 EDI=003CFBDC EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003CFC2C ECX=00000000 EDX=0117AF16 EBX=309450C9 ESP=003CFBDC EBP=003CFCB8 ESI=01222CD1 EDI=003CFBDC EFLAG=00000212
SeqID:00000006 0117AF16->0117CAB1                                                  EAX=000000C2 ECX=00000000 EDX=0117AF16 EBX=30945007 ESP=003CFBDC EBP=003CFCB8 ESI=01222CD2 EDI=003CFBDC EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=FFB8526A ECX=00000000 EDX=0117AF16 EBX=30DBFD9D ESP=003CFBDC EBP=003CFCB4 ESI=01222CD6 EDI=003CFBDC EFLAG=00000206
