SeqID:00000004 0133B820->0133B1F5                                                  EAX=00000002 ECX=00000000 EDX=0133AD72 EBX=D7AAFD47 ESP=001EF704 EBP=001EF7D6 ESI=013E2CC3 EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=001EF754 ECX=00000000 EDX=0133AD72 EBX=D7AAFD47 ESP=001EF704 EBP=001EF7D6 ESI=013E2CC3 EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000010 ECX=00000000 EDX=00000202 EBX=D7AAFDE2 ESP=001EF704 EBP=001EF7DA ESI=013E2CC5 EDI=001EF704 EFLAG=00000202
SeqID:00000010 0133BD36->0133CFCF                                                  EAX=00000020 ECX=00000000 EDX=0133BD36 EBX=D7AAFDC2 ESP=001EF704 EBP=001EF7DA ESI=013E2CC6 EDI=001EF704 EFLAG=00000206
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=0000001C ECX=00000000 EDX=01330002 EBX=D7AAFDA6 ESP=001EF704 EBP=001EF7DC ESI=013E2CC7 EDI=001EF704 EFLAG=00000202
SeqID:00000003 0133AFB0->0133C9D8                                                  EAX=00000010 ECX=00000000 EDX=0133AFB0 EBX=D7AAFD96 ESP=001EF704 EBP=001EF7DC ESI=013E2CC8 EDI=001EF704 EFLAG=00000202
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=0A7F77A5 ECX=00000000 EDX=0133AFB0 EBX=D7AAFD96 ESP=001EF704 EBP=001EF7DC ESI=013E2CC8 EDI=001EF704 EFLAG=00000213
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=00000010 ECX=00000000 EDX=00000213 EBX=D7AAFDD0 ESP=001EF704 EBP=001EF7E0 ESI=013E2CCA EDI=001EF704 EFLAG=00000212
SeqID:00000002 0133CD77->0133CA6F                                                  EAX=0000002C ECX=00000000 EDX=00000001 EBX=D7AAFD4F ESP=001EF704 EBP=001EF7E4 ESI=013E2CCC EDI=001EF704 EFLAG=00000206
SeqID:00000006 0133AF16->0133CAB1                                                  EAX=0000004A ECX=00000000 EDX=0133AF16 EBX=D7AAFD05 ESP=001EF704 EBP=001EF7E4 ESI=013E2CCD EDI=001EF704 EFLAG=00000202
