SeqID:00000002 0117CD77->0117B7BB                                                  EAX=0000001C ECX=00000000 EDX=01170002 EBX=D7AAFDA6 ESP=003DF90C EBP=003DF9E4 ESI=01222CC7 EDI=003DF90C EFLAG=00000206
SeqID:00000003 0117AFB0->0117C9D8                                                  EAX=00000010 ECX=00000000 EDX=0117AFB0 EBX=D7AAFD96 ESP=003DF90C EBP=003DF9E4 ESI=01222CC8 EDI=003DF90C EFLAG=00000202
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=0A7F77A5 ECX=00000000 EDX=0117AFB0 EBX=D7AAFD96 ESP=003DF90C EBP=003DF9E4 ESI=01222CC8 EDI=003DF90C EFLAG=00000213
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=00000010 ECX=00000000 EDX=00000213 EBX=D7AAFDD0 ESP=003DF90C EBP=003DF9E8 ESI=01222CCA EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=0000002C ECX=00000000 EDX=00000001 EBX=D7AAFD4F ESP=003DF90C EBP=003DF9EC ESI=01222CCC EDI=003DF90C EFLAG=00000202
SeqID:00000006 0117AF16->0117CAB1                                                  EAX=0000004A ECX=00000000 EDX=0117AF16 EBX=D7AAFD05 ESP=003DF90C EBP=003DF9EC ESI=01222CCD EDI=003DF90C EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=A716AC3C ECX=00000000 EDX=0117AF16 EBX=309450C9 ESP=003DF90C EBP=003DF9E8 ESI=01222CD1 EDI=003DF90C EFLAG=00000206
SeqID:00000002 0117CD77->0117B7BB                                                  EAX=003DF95C ECX=00000000 EDX=0117AF16 EBX=309450C9 ESP=003DF90C EBP=003DF9E8 ESI=01222CD1 EDI=003DF90C EFLAG=00000212
SeqID:00000006 0117AF16->0117CAB1                                                  EAX=000000C2 ECX=00000000 EDX=0117AF16 EBX=30945007 ESP=003DF90C EBP=003DF9E8 ESI=01222CD2 EDI=003DF90C EFLAG=00000202
SeqID:00000004 0117B820->0117B1F5                                                  EAX=FFB8526A ECX=00000000 EDX=0117AF16 EBX=30DBFD9D ESP=003DF90C EBP=003DF9E4 ESI=01222CD6 EDI=003DF90C EFLAG=00000206
