012B5418	MOV      [ECX], DL                                        EAX=00000012 ECX=001DFA85 EDX=00000033 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B541A	INC      ECX                                              EAX=00000012 ECX=001DFA85 EDX=00000033 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B541B	TEST     EAX, EAX                                         EAX=00000012 ECX=001DFA86 EDX=00000033 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B541D	JNZ      0x12b5406                                        EAX=00000012 ECX=001DFA86 EDX=00000033 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B5406	XOR      EDX, EDX                                         EAX=00000012 ECX=001DFA86 EDX=00000033 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B5408	DIV      DWORD [EBP+0x8]                                  EAX=00000012 ECX=001DFA86 EDX=00000000 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540B	CMP      EDX, 0x9                                         EAX=00000001 ECX=001DFA86 EDX=00000002 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540E	JBE      0x12b5415                                        EAX=00000001 ECX=001DFA86 EDX=00000002 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000297
012B5415	ADD      DL, 0x30                                         EAX=00000001 ECX=001DFA86 EDX=00000002 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000297
012B5418	MOV      [ECX], DL                                        EAX=00000001 ECX=001DFA86 EDX=00000032 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B541A	INC      ECX                                              EAX=00000001 ECX=001DFA86 EDX=00000032 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B541B	TEST     EAX, EAX                                         EAX=00000001 ECX=001DFA87 EDX=00000032 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B541D	JNZ      0x12b5406                                        EAX=00000001 ECX=001DFA87 EDX=00000032 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B5406	XOR      EDX, EDX                                         EAX=00000001 ECX=001DFA87 EDX=00000032 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B5408	DIV      DWORD [EBP+0x8]                                  EAX=00000001 ECX=001DFA87 EDX=00000000 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540B	CMP      EDX, 0x9                                         EAX=00000000 ECX=001DFA87 EDX=00000001 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B540E	JBE      0x12b5415                                        EAX=00000000 ECX=001DFA87 EDX=00000001 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000293
012B5415	ADD      DL, 0x30                                         EAX=00000000 ECX=001DFA87 EDX=00000001 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000293
012B5418	MOV      [ECX], DL                                        EAX=00000000 ECX=001DFA87 EDX=00000031 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B541A	INC      ECX                                              EAX=00000000 ECX=001DFA87 EDX=00000031 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B541B	TEST     EAX, EAX                                         EAX=00000000 ECX=001DFA88 EDX=00000031 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B541D	JNZ      0x12b5406                                        EAX=00000000 ECX=001DFA88 EDX=00000031 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B541F	MOV      [ECX], AL                                        EAX=00000000 ECX=001DFA88 EDX=00000031 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B5421	DEC      ECX                                              EAX=00000000 ECX=001DFA88 EDX=00000031 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000246
012B5422	MOV      DL, [ESI]                                        EAX=00000000 ECX=001DFA87 EDX=00000031 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B5424	MOV      AL, [ECX]                                        EAX=00000000 ECX=001DFA87 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B5426	MOV      [ECX], DL                                        EAX=00000031 ECX=001DFA87 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B5428	DEC      ECX                                              EAX=00000031 ECX=001DFA87 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000206
012B5429	MOV      [ESI], AL                                        EAX=00000031 ECX=001DFA86 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B542B	INC      ESI                                              EAX=00000031 ECX=001DFA86 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA80 EDI=00000000 EFLAG=00000202
012B542C	CMP      ESI, ECX                                         EAX=00000031 ECX=001DFA86 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA81 EDI=00000000 EFLAG=00000206
012B542E	JB       0x12b5422                                        EAX=00000031 ECX=001DFA86 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA81 EDI=00000000 EFLAG=00000293
012B5422	MOV      DL, [ESI]                                        EAX=00000031 ECX=001DFA86 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA81 EDI=00000000 EFLAG=00000293
012B5424	MOV      AL, [ECX]                                        EAX=00000031 ECX=001DFA86 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA81 EDI=00000000 EFLAG=00000293
012B5426	MOV      [ECX], DL                                        EAX=00000032 ECX=001DFA86 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA81 EDI=00000000 EFLAG=00000293
012B5428	DEC      ECX                                              EAX=00000032 ECX=001DFA86 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA81 EDI=00000000 EFLAG=00000293
012B5429	MOV      [ESI], AL                                        EAX=00000032 ECX=001DFA85 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA81 EDI=00000000 EFLAG=00000203
012B542B	INC      ESI                                              EAX=00000032 ECX=001DFA85 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA81 EDI=00000000 EFLAG=00000203
012B542C	CMP      ESI, ECX                                         EAX=00000032 ECX=001DFA85 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA82 EDI=00000000 EFLAG=00000207
012B542E	JB       0x12b5422                                        EAX=00000032 ECX=001DFA85 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA82 EDI=00000000 EFLAG=00000293
012B5422	MOV      DL, [ESI]                                        EAX=00000032 ECX=001DFA85 EDX=00000037 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA82 EDI=00000000 EFLAG=00000293
012B5424	MOV      AL, [ECX]                                        EAX=00000032 ECX=001DFA85 EDX=00000036 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA82 EDI=00000000 EFLAG=00000293
012B5426	MOV      [ECX], DL                                        EAX=00000033 ECX=001DFA85 EDX=00000036 EBX=760041B5 ESP=001DFA4C EBP=001DFA50 ESI=001DFA82 EDI=00000000 EFLAG=00000293
